text,size
cambridge-analytica,89
said-in,22
facebook-data,21
said-it,16
facebook-users,14
facebook-and,13
facebook-said,13
said-that,12
data-and,11
analytica-the,10
said-the,10
information-about,9
privacy-settings,9
users-to,9
cambridge-analyticas,8
said-facebook,8
said-on,8
zuckerberg-said,8
zuckerberg-to,8
data-from,7
data-of,7
data-was,7
users-the,7
analytica-had,6
company-said,6
data-in,6
data-to,6
facebook-had,6
facebook-to,6
said-he,6
said-they,6
analytica-in,5
data-firm,5
data-privacy,5
facebook-has,5
information-to,5
said-its,5
users-data,5
analytica-he,4
company-is,4
data-brokers,4
data-for,4
data-had,4
data-is,4
data-leak,4
data-on,4
facebook-says,4
facebook-usage,4
information-the,4
analytica-a,3
analytica-and,3
analytica-to,3
analytica-which,3
company-also,3
company-has,3
company-he,3
data-breach,3
data-facebook,3
data-harvested,3
data-they,3
data-with,3
facebook-also,3
facebook-ceo,3
facebook-chief,3
facebook-failed,3
facebook-first,3
facebook-inc,3
facebook-on,3
facebook-platform,3
facebook-shares,3
facebook-violated,3
information-and,3
information-commissioner,3
information-commissioners,3
information-in,3
information-is,3
information-of,3
privacy-controls,3
privacy-laws,3
privacy-of,3
privacy-tools,3
said-and,3
users-advertisers,3
users-wrongly,3
zuckerberg-and,3
zuckerberg-facebooks,3
zuckerberg-has,3
zuckerberg-is,3
analytica-but,2
analytica-facebook,2
analytica-for,2
analytica-has,2
analytica-improperly,2
analytica-is,2
analytica-last,2
analytica-zuckerberg,2
company-and,2
company-but,2
company-had,2
company-made,2
company-that,2
company-uses,2
company-wpp,2
data-a,2
data-after,2
data-analytics,2
data-before,2
data-but,2
data-cloud,2
data-collected,2
data-could,2
data-ended,2
data-expert,2
data-harvesting,2
data-law,2
data-or,2
data-protection,2
data-providers,2
data-services,2
data-supplied,2
data-warner,2
data-would,2
facebook-adjusted,2
facebook-declined,2
facebook-emarketer,2
facebook-founder,2
facebook-graham,2
facebook-handles,2
facebook-in,2
facebook-introduces,2
facebook-launches,2
facebook-logo,2
facebook-over,2
facebook-page,2
facebook-product,2
facebook-thats,2
facebook-underpinned,2
facebook-was,2
facebook-while,2
facebook-would,2
information-compared,2
information-if,2
information-mr,2
information-on,2
information-privacy,2
information-technology,2
information-there,2
information-where,2
privacy-as,2
privacy-could,2
privacy-in,2
privacy-on,2
privacy-process,2
privacy-rules,2
privacy-the,2
said-adding,2
said-but,2
said-cambridge,2
said-could,2
said-data,2
said-facebooks,2
said-for,2
said-gitit,2
said-mr,2
said-overall,2
said-reiterating,2
users-and,2
users-anger,2
users-can,2
users-control,2
users-fewer,2
users-has,2
users-information,2
users-privacy,2
users-wedbush,2
users-whose,2
zuckerberg-acknowledged,2
zuckerberg-apologized,2
zuckerberg-himself,2
zuckerberg-says,2
zuckerberg-told,2
analytica-andy,1
analytica-cambridge,1
analytica-collected,1
analytica-consumers,1
analytica-deceived,1
analytica-did,1
analytica-disclosure,1
analytica-employee,1
analytica-employs,1
analytica-executive,1
analytica-executives,1
analytica-harvested,1
analytica-hired,1
analytica-investors,1
analytica-it,1
analytica-many,1
analytica-mr,1
analytica-names,1
analytica-never,1
analytica-now,1
analytica-obtained,1
analytica-of,1
analytica-officials,1
analytica-or,1
analytica-played,1
analytica-republican,1
analytica-said,1
analytica-scandal,1
analytica-setting,1
analytica-she,1
analytica-situation,1
analytica-up,1
analytica-violating,1
analytica-were,1
analytica-whose,1
analytica-won,1
analytica-wylie,1
cambridge-did,1
cambridge-executive,1
cambridge-facebook,1
cambridge-has,1
cambridge-researcher,1
cambridge-said,1
cambridge-university,1
cambridge-universitys,1
company-acknowledged,1
company-because,1
company-collects,1
company-conducts,1
company-could,1
company-currently,1
company-down,1
company-engaged,1
company-failed,1
company-founded,1
company-have,1
company-issued,1
company-kogan,1
company-mishandled,1
company-of,1
company-played,1
company-releases,1
company-remains,1
company-several,1
company-shares,1
company-suspended,1
company-the,1
company-twice,1
company-which,1
data-2014,1
data-2015,1
data-about,1
data-according,1
data-are,1
data-automatically,1
data-broker,1
data-by,1
data-changed,1
data-collection,1
data-exchanged,1
data-following,1
data-generated,1
data-globally,1
data-have,1
data-it,1
data-katarina,1
data-leaks,1
data-may,1
data-might,1
data-mining,1
data-misuse,1
data-ms,1
data-officer,1
data-preventing,1
data-prior,1
data-private,1
data-scientist,1
data-scoop,1
data-secure,1
data-seriously,1
data-sharing,1
data-subject,1
data-that,1
data-though,1
data-triggering,1
data-use,1
data-watchdog,1
data-we,1
data-will,1
data-work,1
facebook-account,1
facebook-after,1
facebook-already,1
facebook-announces,1
facebook-app,1
facebook-as,1
facebook-asking,1
facebook-before,1
facebook-board,1
facebook-broke,1
facebook-calls,1
facebook-came,1
facebook-can,1
facebook-closed,1
facebook-connect,1
facebook-employees,1
facebook-executive,1
facebook-following,1
facebook-for,1
facebook-friends,1
facebook-hand,1
facebook-have,1
facebook-is,1
facebook-learned,1
facebook-liable,1
facebook-made,1
facebook-might,1
facebook-monitored,1
facebook-more,1
facebook-much,1
facebook-now,1
facebook-officials,1
facebook-or,1
facebook-pending,1
facebook-permitted,1
facebook-plans,1
facebook-profiles,1
facebook-prohibits,1
facebook-promised,1
facebook-promises,1
facebook-reached,1
facebook-reacted,1
facebook-redesigns,1
facebook-representatives,1
facebook-responds,1
facebook-ruins,1
facebook-should,1
facebook-sought,1
facebook-that,1
facebook-the,1
facebook-too,1
facebook-vows,1
facebook-what,1
facebook-which,1
facebook-will,1
facebook-works,1
facebook-zuckerberg,1
information-accessed,1
information-as,1
information-before,1
information-beyond,1
information-cambridge,1
information-channels,1
information-from,1
information-grassleys,1
information-had,1
information-harvested,1
information-it,1
information-may,1
information-social,1
information-that,1
information-with,1
privacy-2007,1
privacy-and,1
privacy-assurances,1
privacy-audit,1
privacy-basics,1
privacy-breach,1
privacy-commissioner,1
privacy-improvements,1
privacy-including,1
privacy-issues,1
privacy-measures,1
privacy-practices,1
privacy-problems,1
privacy-promises,1
privacy-protections,1
privacy-scandal,1
privacy-scandals,1
privacy-sen,1
privacy-they,1
privacy-user,1
said-advertising,1
said-campaigns,1
said-christopher,1
said-consumers,1
said-going,1
said-his,1
said-i,1
said-inside,1
said-late,1
said-mark,1
said-monday,1
said-most,1
said-no,1
said-or,1
said-representatives,1
said-several,1
said-she,1
said-targeted,1
said-then,1
said-these,1
