text,size
facebook,209
data,172
said,144
cambridge,105
analytica,90
users,78
information,67
company,57
privacy,55
zuckerberg,52
firm,38
new,36
nix,31
us,30
political,29
also,28
companies,28
percent,28
social,28
used,26
wednesday,26
facebooks,25
million,25
media,24
people,24
personal,24
could,23
app,21
chief,21
mark,21
states,21
times,21
trust,21
access,20
campaign,20
committee,20
executive,19
would,19
channel,18
last,18
lawmakers,18
reports,18
says,17
use,17
week,17
advertisers,16
election,16
investigation,16
news,16
kogan,15
trump,15
united,15
user,15
work,15
president,14
shares,14
british,13
protect,13
tuesday,13
two,13
voters,13
whether,13
asked,12
breach,12
britain,12
companys,12
harvested,12
hearing,12
know,12
made,12
may,12
settings,12
statement,12
still,12
testify,12
thirdparty,12
york,12
acxiom,11
advertising,11
american,11
consumers,11
including,11
london,11
many,11
millions,11
monday,11
party,11
since,11
trade,11
well,11
apps,10
commission,10
help,10
influence,10
platform,10
put,10
scl,10
set,10
though,10
time,10
using,10
ad,9
among,9
clients,9
collected,9
consumer,9
developers,9
digital,9
european,9
federal,9
found,9
friends,9
hired,9
inc,9
law,9
like,9
make,9
next,9
poll,9
private,9
recent,9
shared,9
sunday,9
told,9
washington,9
year,9
years,9
acknowledged,8
ads,8
analyticas,8
call,8
dont,8
dr,8
elections,8
first,8
following,8
gained,8
give,8
group,8
im,8
improperly,8
mistakes,8
need,8
observer,8
office,8
online,8
presidential,8
published,8
questions,8
reporting,8
saying,8
scandal,8
scrutiny,8
several,8
survey,8
things,8
tools,8
trumps,8
wealthy,8
abuse,7
according,7
around,7
campaigns,7
collins,7
commerce,7
conducted,7
estimate,7
even,7
friday,7
given,7
go,7
house,7
interview,7
month,7
much,7
one,7
post,7
profiles,7
received,7
reporter,7
republican,7
research,7
responsibility,7
revenue,7
step,7
take,7
target,7
thats,7
usage,7
whose,7
wylie,7
allegations,6
back,6
board,6
broadcast,6
calls,6
ceo,6
comment,6
consulting,6
control,6
david,6
days,6
ended,6
executives,6
general,6
giving,6
global,6
government,6
hands,6
investigating,6
largest,6
later,6
laws,6
least,6
mercer,6
network,6
number,6
peoples,6
public,6
report,6
reported,6
reporters,6
role,6
russian,6
secretly,6
senate,6
service,6
share,6
staff,6
working,6
added,5
additional,5
advertisements,5
affected,5
alexander,5
already,5
announced,5
attorneys,5
based,5
big,5
built,5
called,5
came,5
center,5
chairman,5
client,5
congress,5
consent,5
consultancy,5
court,5
declined,5
didnt,5
donald,5
done,5
easier,5
editing,5
experian,5
explain,5
facing,5
failed,5
fake,5
family,5
former,5
ftc,5
get,5
harvesting,5
idea,5
impact,5
important,5
inquiry,5
internet,5
investigations,5
lawsuit,5
leak,5
lets,5
letter,5
look,5
looking,5
major,5
mcdonald,5
misuse,5
ms,5
night,5
nixs,5
obtained,5
page,5
part,5
past,5
platforms,5
politicians,5
previous,5
process,5
profile,5
promises,5
regulation,5
researcher,5
reuters,5
rules,5
see,5
send,5
services,5
stephen,5
techniques,5
technology,5
television,5
think,5
tool,5
union,5
university,5
view,5
watch,5
website,5
zuckerbergs,5
account,4
acquired,4
adding,4
ago,4
alphabet,4
americans,4
analyst,4
anyone,4
apologized,4
appear,4
april,4
asking,4
audiences,4
audit,4
available,4
award,4
bannon,4
behavior,4
better,4
bild,4
blog,4
britains,4
brokers,4
christopher,4
claims,4
closed,4
collect,4
collecting,4
commissioner,4
concerns,4
congressional,4
controls,4
convoluted,4
corp,4
customers,4
democracy,4
democrat,4
deserve,4
director,4
encounter,4
entrap,4
evidence,4
expected,4
far,4
fewer,4
find,4
fines,4
follows,4
footage,4
foreign,4
friend,4
goods,4
grassley,4
great,4
handling,4
happened,4
history,4
holds,4
hotel,4
immediately,4
improve,4
indian,4
industry,4
interviews,4
investors,4
invited,4
james,4
journal,4
judiciary,4
justice,4
kenyatta,4
kenyattas,4
large,4
late,4
lead,4
leaked,4
likely,4
londonbased,4
march,4
massachusetts,4
matter,4
measures,4
misused,4
modeling,4
months,4
networks,4
noah,4
obey,4
offered,4
operations,4
parent,4
plc,4
pm,4
previously,4
promised,4
propaganda,4
prospective,4
psychographic,4
putin,4
quiz,4
raised,4
remained,4
representative,4
reutersipsos,4
revelations,4
right,4
robert,4
saturday,4
say,4
search,4
second,4
show,4
similar,4
something,4
steady,4
street,4
third,4
top,4
trying,4
turnbull,4
twitter,4
uses,4
video,4
violated,4
violation,4
wanted,4
warner,4
websites,4
worlds,4
wpp,4
able,3
academic,3
accessed,3
accounts,3
accuracy,3
accused,3
activity,3
addresses,3
agreement,3
ahead,3
aimed,3
aleksandr,3
although,3
analytics,3
another,3
answer,3
answers,3
appeared,3
arjun,3
attorney,3
base,3
beacon,3
become,3
behalf,3
bell,3
beyond,3
branding,3
bribery,3
candidate,3
cast,3
cause,3
change,3
changes,3
clear,3
closely,3
comedy,3
comes,3
coming,3
commissioners,3
cook,3
countries,3
county,3
criticism,3
culture,3
day,3
december,3
deleted,3
demanded,3
denham,3
details,3
develop,3
developer,3
disclose,3
disclosure,3
donor,3
downstream,3
earlier,3
early,3
effect,3
end,3
energy,3
enforcement,3
engaged,3
enough,3
every,3
exactly,3
face,3
failure,3
faith,3
firms,3
forward,3
founded,3
future,3
gave,3
germanys,3
going,3
good,3
google,3
graph,3
groups,3
handles,3
happy,3
highlights,3
identify,3
included,3
indias,3
indicated,3
inform,3
ingram,3
instance,3
interference,3
january,3
john,3
k,3
karanja,3
kenya,3
land,3
largely,3
leading,3
learned,3
linked,3
lists,3
little,3
local,3
losing,3
marketers,3
mean,3
meet,3
members,3
methods,3
might,3
mobile,3
moment,3
nairobi,3
nbcs,3
newspapers,3
notice,3
offer,3
officer,3
officials,3
opened,3
panchadar,3
paper,3
parliament,3
parties,3
permissions,3
person,3
personality,3
planned,3
plans,3
played,3
practice,3
problems,3
protecting,3
protection,3
range,3
reached,3
recommendations,3
recorded,3
reelection,3
regulators,3
released,3
reluctant,3
repeated,3
reputation,3
requires,3
residents,3
restrict,3
retained,3
review,3
rival,3
safeguards,3
san,3
sandberg,3
security,3
seduction,3
sell,3
senator,3
senior,3
sensitive,3
sent,3
series,3
simplifying,3
socalled,3
someone,3
sorry,3
sought,3
spokesman,3
spread,3
state,3
stock,3
stop,3
suggested,3
sure,3
suspension,3
taking,3
talk,3
targeting,3
tayler,3
team,3
text,3
ties,3
transparent,3
tumbled,3
tv,3
undercover,3
updates,3
wall,3
want,3
warrant,3
weekend,3
widely,3
worked,3
works,3
world,3
wrongly,3
wrote,3
youre,3
4s,2
action,2
actors,2
actual,2
actually,2
adjusted,2
advertisement,2
affect,2
africa,2
aggressively,2
alleges,2
allow,2
almost,2
amazoncom,2
amid,2
anger,2
announcement,2
apologizing,2
apology,2
appease,2
appointments,2
assess,2
assume,2
atlantic,2
attention,2
attractive,2
automakers,2
background,2
banks,2
bar,2
barley,2
behind,2
believe,2
believed,2
bengaluru,2
berkeley,2
best,2
biggest,2
billion,2
breaches,2
breaking,2
bribe,2
briefed,2
broke,2
broken,2
build,2
business,2
cant,2
captured,2
caribbean,2
categories,2
ceos,2
certain,2
changed,2
channeled,2
chatterjee,2
chris,2
cited,2
citizen,2
civil,2
clamoring,2
clearly,2
closer,2
cloud,2
cnn,2
colbert,2
comic,2
commented,2
comments,2
committed,2
committees,2
common,2
commons,2
compared,2
concerned,2
confront,2
confusing,2
connected,2
connections,2
consider,2
corporate,2
crack,2
critical,2
cynthia,2
dalgleish,2
damian,2
damning,2
dark,2
datadriven,2
datamining,2
dc,2
deadline,2
debra,2
decision,2
decree,2
deep,2
deeply,2
default,2
delaware,2
delete,2
deletefacebook,2
demanding,2
described,2
describing,2
desktop,2
deter,2
determine,2
devices,2
difference,2
directly,2
disclosing,2
disputed,2
distrust,2
divisive,2
document,2
doesnt,2
dual,2
dustin,2
ease,2
effective,2
effectively,2
effectiveness,2
elect,2
electoral,2
elizabeth,2
email,2
emarketer,2
emnid,2
employees,2
enables,2
ensure,2
entity,2
eric,2
ethnic,2
europe,2
everything,2
examining,2
examples,2
exclusive,2
exit,2
expect,2
expects,2
expert,2
fear,2
fears,2
figure,2
filed,2
filmed,2
fioretti,2
fiscal,2
focus,2
focused,2
force,2
forensics,2
forthcoming,2
foundation,2
founder,2
francisco,2
franciscolondon,2
fraud,2
front,2
frustration,2
fulfills,2
fully,2
furor,2
gadsby,2
german,2
germans,2
germany,2
girls,2
gitit,2
globe,2
graham,2
greenberg,2
growing,2
guardian,2
guidelines,2
half,2
happen,2
harder,2
harsher,2
hashtag,2
held,2
helped,2
hes,2
higher,2
hit,2
hold,2
holding,2
hope,2
huge,2
identified,2
illinois,2
impacts,2
imposes,2
improper,2
inbox,2
incs,2
individual,2
industries,2
ingrained,2
inquiries,2
inside,2
insights,2
intellectual,2
intelligence,2
intense,2
interested,2
intertwined,2
interviewed,2
introduces,2
investigators,2
investor,2
invitations,2
israeli,2
issued,2
jubilee,2
julia,2
jury,2
kahn,2
kantar,2
keep,2
kenyan,2
kevin,2
kind,2
kogans,2
laharee,2
largestselling,2
launches,2
leaders,2
leads,2
leaks,2
learning,2
learns,2
legislators,2
let,2
lifeblood,2
liffey,2
light,2
lives,2
logged,2
logo,2
long,2
luxury,2
manage,2
manipulated,2
market,2
marketing,2
markets,2
mcsweeny,2
meant,2
measure,2
meeting,2
member,2
memberships,2
messages,2
meyers,2
michael,2
microsoft,2
misinformation,2
mistake,2
monitor,2
mudd,2
names,2
nature,2
necessarily,2
needs,2
negative,2
neither,2
never,2
newsletter,2
nights,2
nine,2
none,2
november,2
numbers,2
october,2
odinga,2
offering,2
officers,2
offices,2
officially,2
openness,2
opinion,2
opportunity,2
opposite,2
option,2
oracle,2
osterman,2
others,2
outlets,2
outside,2
overall,2
overseen,2
owned,2
pachter,2
packaged,2
paid,2
paint,2
panel,2
papers,2
parliamentary,2
partnerships,2
pass,2
performed,2
personalities,2
phone,2
place,2
placed,2
plain,2
pleased,2
pointed,2
policies,2
polling,2
polls,2
portability,2
pose,2
posing,2
positive,2
press,2
pressing,2
pressure,2
pretty,2
prevent,2
preventing,2
prior,2
producers,2
product,2
project,2
promise,2
prompted,2
property,2
prosecutors,2
provide,2
provided,2
providers,2
psychologically,2
publicly,2
purchasing,2
purposes,2
push,2
question,2
questioned,2
quit,2
radio,2
ran,2
raw,2
recently,2
reconciled,2
recovery,2
referendum,2
registered,2
regularly,2
regulations,2
reiterating,2
relatively,2
remains,2
renewed,2
repair,2
repeatedly,2
representatives,2
representing,2
researchers,2
respond,2
response,2
responses,2
results,2
rights,2
rivals,2
rolls,2
rundown,2
russias,2
sales,2
satisfy,2
scenes,2
scheduled,2
schneiderman,2
school,2
scoop,2
screens,2
season,2
seduce,2
seeking,2
seen,2
separate,2
serve,2
served,2
seth,2
shell,2
shut,2
sides,2
sign,2
similarweb,2
similarwebs,2
site,2
sitting,2
situation,2
six,2
sleep,2
sonntag,2
sorts,2
source,2
sped,2
speech,2
spent,2
sport,2
spotlight,2
sri,2
steps,2
straight,2
stringent,2
strongly,2
structure,2
suggesting,2
supplied,2
supreme,2
suspended,2
taken,2
takes,2
talking,2
tangible,2
taps,2
targeted,2
tech,2
telling,2
tens,2
terms,2
testimony,2
theyre,2
thing,2
thinking,2
tiny,2
today,2
tonight,2
total,2
tougher,2
traction,2
traded,2
transunion,2
trevor,2
TRUE,2
try,2
twice,2
uk,2
uncertain,2
unchanged,2
unclear,2
underbelly,2
underpinned,2
understand,2
unfair,2
unit,2
unprecedented,2
utilizing,2
values,2
via,2
videotape,2
viewed,2
violating,2
vladimir,2
volz,2
voter,2
vulnerability,2
watching,2
way,2
ways,2
wedbush,2
weeks,2
welcome,2
welcomes,2
weve,2
white,2
wholly,2
william,2
williamson,2
winding,2
within,2
without,2
woman,2
worldwide,2
yet,2
15th,1
47000person,1
accept,1
accepted,1
accessing,1
accountable,1
accurate,1
accusations,1
acknowledges,1
acknowledgments,1
acquisition,1
acrimonious,1
acting,1
actions,1
actively,1
activities,1
actor,1
acts,1
addition,1
address,1
addressed,1
addressing,1
adopt,1
advertised,1
advised,1
adviser,1
african,1
agencies,1
agency,1
aggressive,1
agree,1
agreed,1
agreements,1
ahem,1
aid,1
aiming,1
algorithms,1
alleged,1
allegedly,1
allows,1
amount,1
amounts,1
amy,1
analyzing,1
andy,1
angeles,1
angered,1
anniversary,1
announces,1
announcing,1
annual,1
annually,1
anonymized,1
anxieties,1
apologizes,1
appears,1
apply,1
applying,1
appmaker,1
appmakers,1
approached,1
approval,1
approved,1
archived,1
archrivals,1
arent,1
articles,1
ascertain,1
asks,1
assurances,1
assured,1
attached,1
attended,1
auchard,1
august,1
author,1
authorities,1
authority,1
automatically,1
avoid,1
awards,1
aware,1
backlash,1
bader,1
banned,1
bans,1
basics,1
beacons,1
beautiful,1
became,1
bee,1
began,1
begins,1
belief,1
besides,1
bharatiya,1
bid,1
bill,1
billboards,1
billions,1
biometric,1
blame,1
blamed,1
bloodstream,1
bloomberg,1
boasted,1
bold,1
bowies,1
breakout,1
bring,1
brings,1
broad,1
broadening,1
broker,1
brought,1
building,1
bunch,1
burt,1
bus,1
businesses,1
buys,1
calculated,1
calif,1
california,1
camera,1
cameras,1
canadas,1
candidates,1
capable,1
capitol,1
carried,1
case,1
catastrophic,1
cellphone,1
certification,1
certifications,1
certify,1
