text,size
deletefacebook,247
facebook,219
zuckerberg,124
mark,103
million,97
fix,92
internet,90
letter,88
open,88
sign,88
across,87
spreading,86
cambridgeanalytica,83
data,77
users,25
deleted,24
people,23
privacy,23
want,23
fb,22
im,21
account,20
dont,20
facebooks,19
via,19
sandberg,18
sherylsandberg,17
us,16
years,16
admits,15
could,15
media,15
says,15
sheryl,14
ads,13
cant,13
delete,13
know,13
news,13
scandal,13
still,13
time,13
also,12
one,12
political,12
realjameswoods,12
social,12
already,11
didnt,11
going,11
latest,11
well,11
would,11
another,10
day,10
like,10
make,10
movement,10
need,10
company,9
deleting,9
info,9
information,9
nothing,9
personal,9
talking,9
used,9
wants,9
always,8
big,8
business,8
even,8
good,8
hospitals,8
link,8
medical,8
messenger,8
much,8
new,8
question,8
really,8
see,8
theyre,8
thing,8
think,8
thread,8
use,8
using,8
youre,8
amptechs,7
analytica,7
april,7
biggest,7
broadcast,7
cambridge,7
deletefacebooknow,7
firm,7
foxnews,7
go,7
google,7
markzuckerberg,7
music,7
pay,7
private,7
right,7
rob,7
soon,7
sorry,7
sure,7
take,7
trust,7
watch,7
afford,6
caught,6
change,6
check,6
coming,6
disabled,6
done,6
got,6
help,6
history,6
keep,6
late,6
messages,6
missing,6
never,6
patient,6
protect,6
reason,6
say,6
share,6
shared,6
talk,6
tech,6
trump,6
two,6
world,6
access,5
amazon,5
better,5
campaign,5
case,5
criminal,5
customer,5
days,5
edu00a0u00bcedu00beu00b9,5
eff,5
enough,5
fakenews,5
finally,5
friends,5
future,5
getting,5
gone,5
hell,5
helped,5
heres,5
identities,5
instagram,5
intro,5
last,5
life,5
long,5
many,5
might,5
mistake,5
next,5
ok,5
patten,5
piano,5
platform,5
real,5
realdonaldtrump,5
selling,5
sent,5
sharing,5
shit,5
sold,5
start,5
support,5
tell,5
thats,5
today,5
trying,5
u,5
video,5
wait,5
way,5
week,5
went,5
wow,5
youll,5
affected,4
ago,4
asked,4
asking,4
assange,4
back,4
bad,4
billion,4
breach,4
bye,4
c,4
care,4
daily,4
deep,4
effect,4
everyone,4
evil,4
expect,4
finkd,4
folks,4
fuck,4
