text,size
car,13
said,13
driver,10
would,10
companies,8
could,7
hopper,7
mayhem,7
one,7
time,7
accident,6
also,6
aquaria,6
last,6
passengers,6
role,6
scene,6
selfdriving,6
stewart,6
team,6
world,6
asked,5
clark,5
controlled,5
died,5
end,5
get,5
including,5
known,5
like,5
love,5
monique,5
possession,5
safety,5
track,5
two,5
von,5
way,5
wittkamp,5
actor,4
angeles,4
autonomous,4
back,4
blair,4
change,4
days,4
find,4
first,4
house,4
look,4
los,4
many,4
marijuana,4
month,4
nebraska,4
never,4
prix,4
public,4
racing,4
really,4
released,4
rules,4
see,4
substance,4
us,4
vehicle,4
week,4
without,4
yuhua,4
actress,3
allowed,3
anybody,3
apps,3
bird,3
california,3
called,3
champion,3
course,3
crash,3
death,3
didnt,3
drag,3
drivers,3
drug,3
dungeon,3
dusty,3
ever,3
formula,3
found,3
four,3
grand,3
hockenheim,3
kiki,3
killed,3
later,3
left,3
less,3
life,3
living,3
maxichallenge,3
minutes,3
mont,3
mother,3
moved,3
others,3
painted,3
proposal,3
psilocybin,3
race,3
relationship,3
show,3
stewarts,3
struck,3
success,3
testing,3
told,3
trees,3
triple,3
trump,3
vanjie,3
weeks,3
went,3
woman,3
year,3
acted,2
addict,2
afternoon,2
allegedly,2
already,2
amphetamine,2
april,2
around,2
arrest,2
arrested,2
asia,2
away,2
backup,2
bad,2
bear,2
big,2
bit,2
board,2
body,2
bottle,2
bottoms,2
bring,2
bus,2
buttrface,2
call,2
captain,2
cars,2
challenge,2
character,2
charged,2
circuit,2
clear,2
close,2
closely,2
collar,2
come,2
comment,2
commission,2
consent,2
consumers,2
control,2
county,2
dance,2
dangerous,2
demon,2
dennis,2
despite,2
die,2
divorce,2
dmv,2
driverless,2
drove,2
editing,2
empty,2
entire,2
eureka,2
evening,2
family,2
far,2
fashion,2
feathers,2
fibstr,2
fight,2
film,2
fine,2
francisco,2
free,2
girls,2
give,2
grams,2
great,2
hamilton,2
heard,2
home,2
hot,2
immediate,2
included,2
indianapolis,2
industry,2
injured,2
issued,2
italian,2
jack,2
jesus,2
jim,2
kameron,2
largely,2
link,2
lotus,2
madam,2
made,2
may,2
miller,2
model,2
moment,2
months,2
must,2
named,2
near,2
next,2
number,2
offense,2
offered,2
ohara,2
opened,2
outside,2
partner,2
people,2
phone,2
picking,2
played,2
power,2
practice,2
presumably,2
proof,2
proposed,2
punishable,2
queen,2
queens,2
quiet,2
raced,2
regular,2
regulators,2
rehab,2
religious,2
reports,2
ru,2
safe,2
sandwich,2
saying,2
second,2
sent,2
serving,2
set,2
shrine,2
simply,2
sister,2
son,2
sparkling,2
spent,2
sport,2
standard,2
state,2
step,2
still,2
stopped,2
story,2
strong,2
switzerland,2
take,2
taken,2
teammates,2
thought,2
trooper,2
truly,2
uber,2
utilities,2
vehicles,2
victories,2
view,2
well,2
wife,2
wig,2
winning,2
workroom,2
wright,2
x,2
years,2
youll,2
12foothigh,1
26yearold,1
49yearold,1
50th,1
78yearold,1
absolutely,1
