text,size
selfdriving,243
cars,144
driverless,135
autonomous,87
uber,58
ai,48
prescientinfo,39
tech,37
vehicles,36
ubers,31
future,27
crash,26
driving,25
fatal,25
says,24
tesla,24
arizona,23
new,23
humans,22
technology,22
waymo,22
safety,20
via,19
accident,18
amp,18
roads,18
would,18
iot,17
ready,17
role,17
even,16
pedestrian,16
california,15
could,15
hit,15
next,14
researchers,14
test,14
auto,13
autonomousvehicles,13
ceo,13
complicated,13
human,13
see,13
testing,13
arent,12
autonomousvehicle,12
company,12
daily,12
drivers,12
killed,12
robotics,12
take,12
artificialintelligence,11
read,11
already,10
day,10
drive,10
first,10
like,10
machinelearning,10
mobility,10
one,10
people,10
robots,10
trucks,10
handled,9
look,9
ride,9
self,9
smartcity,9
us,9
ability,8
automation,8
autopilot,8
cities,8
companies,8
deeplearning,8
governor,8
help,8
innovative,8
legal,8
passengers,8
research,8
road,8
suspends,8
time,8
traffic,8
year,8
actually,7
apr,7
artificial,7
av,7
buses,7
complete,7
dont,7
innovation,7
latest,7
may,7
model,7
need,7
news,7
real,7
rules,7
shuttle,7
think,7
transportation,7
way,7
world,7
around,6
automotive,6
autonomousdriving,6
autonomy,6
blockchain,6
cruise,6
dangerous,6
death,6
digest,6
disruption,6
driver,6
dubai,6
emerging,6
fatality,6
fully,6
get,6
great,6
industry,6
intelligence,6
know,6
make,6
many,6
pick,6
proposes,6
safe,6
still,6
talk,6
things,6
years,6
1st,5
agritech,5
another,5
apple,5
beijing,5
bigdata,5
c,5
change,5
connected,5
data,5
development,5
driverlesscars,5
electric,5
experts,5
farming,5
flying,5
got,5
interesting,5
learn,5
long,5
mind,5
online,5
pioneering,5
podcast,5
sale,5
selfdrivingcars,5
services,5
smartcities,5
state,5
thoughts,5
today,5
tractors,5
truck,5
urban,5
w,5
watch,5
weeks,5
without,5
wrong,5
adds,4
ago,4
americafirst,4
autonomouscars,4
battle,4
become,4
biggest,4
buildthewall,4
challenges,4
city,4
comes,4
conversationus,4
crashed,4
delivery,4
disruptive,4
drone,4
everyday,4
face,4
facts,4
family,4
fintech,4
gets,4
good,4
google,4
guide,4
hands,4
impact,4
jaguar,4
last,4
less,4
levels,4
liability,4
lianggziwei,4
lidar,4
live,4
maga,4
ml,4
monday,4
much,4
n,4
netizen,4
nothing,4
nvidia,4
partners,4
please,4
potus,4
pressure,4
problems,4
recorded,4
regulations,4
rfactorpro,4
safer,4
service,4
show,4
sound,4
standards,4
startup,4
story,4
students,4
taxi,4
tencent,4
ticketgm,4
together,4
top,4
transport,4
travel,4
trust,4
use,4
victim,4
wheel,4
working,4
accidents,3
airports,3
allelectric,3
anticipate,3
april,3
areas,3
automakers,3
automated,3
avoids,3
away,3
backup,3
best,3
bored,3
build,3
business,3
carmakers,3
collisions,3
columbia,3
come,3
comprehensive,3
connectedcar,3
consolpartners,3
consumersnnby,3
continue,3
control,3
cop,3
create,3
creates,3
current,3
customers,3
datadriven,3
datascience,3
date,3
deaths,3
deliver,3
deployed,3
driven,3
drones,3
dronetaxi,3
easier,3
edge,3
ehang,3
enough,3
ensure,3
episode,3
ethics,3
ever,3
every,3
exceed,3
expand,3
faster,3
features,3
fleet,3
flies,3
forbes,3
gatwick,3
going,3
googles,3
government,3
hashtags,3
healthcare,3
heres,3
honda,3
imagine,3
important,3
introduces,3
isnt,3
issue,3
job,3
killer,3
law,3
leaders,3
lets,3
lie,3
life,3
light,3
lives,3
londons,3
making,3
manufacturers,3
medium,3
mikequindazzi,3
million,3
mode,3
model3,3
mph,3
must,3
nautonomous,3
nnread,3
nnsmartcity,3
otto,3
outperform,3
partner,3
per,3
performancennedu00a0u00bdedu00b1u0089,3
plans,3
police,3
predict,3
prevent,3
public,3
race,3
really,3
regulation,3
replacem,3
responsible,3
right,3
robot,3
sad,3
sales,3
shared,3
sharing,3
smart,3
smarthome,3
start,3
statement,3
strategy,3
studying,3
systems,3
talking,3
technologies,3
tests,3
thats,3
theres,3
theyre,3
tomorrows,3
trying,3
tsla,3
two,3
uk,3
used,3
using,3
video,3
vs,3
want,3
weakness,3
well,3
whats,3
work,3
access,2
adopter,2
adoption,2
aec,2
aftermarket,2
ahead,2
alphabet,2
also,2
alternative,2
americans,2
announced,2
anson,2
ar,2
arrive,2
article,2
asked,2
attacks,2
autonomouscar,2
available,2
avoid,2
avs,2
backed,2
becomes,2
believe,2
big,2
bim,2
blog,2
bolt,2
book,2
