text,size
facebook,69
data,42
said,34
cambridge,26
users,25
analytica,23
million,16
political,13
zuckerberg,13
information,12
may,12
would,12
app,10
company,10
improperly,10
media,10
new,10
people,10
rain,10
week,10
eu,9
kogan,9
like,9
much,9
series,9
social,9
ads,8
chief,8
elections,8
episode,8
facebooks,8
film,8
mark,8
subscribe,8
use,8
committee,7
could,7
executive,7
firm,7
friends,7
mr,7
never,7
page,7
podcast,7
privacy,7
shared,7
used,7
years,7
apps,6
april,6
campaign,6
friday,6
hal,6
investigation,6
list,6
voice,6
way,6
accounts,5
ago,5
called,5
canada,5
free,5
going,5
indonesia,5
kubrick,5
last,5
next,5
personal,5
phone,5
russian,5
sandberg,5
says,5
scandal,5
search,5
time,5
told,5
wednesday,5
weeks,5
asked,4
audit,4
canadian,4
congress,4
consultancy,4
deleted,4
even,4
history,4
icon,4
intelligence,4
internet,4
issue,4
learned,4
letter,4
life,4
made,4
many,4
might,4
millions,4
nearly,4
netflix,4
number,4
officer,4
play,4
public,4
quiz,4
really,4
received,4
research,4
results,4
russia,4
scheduled,4
sent,4
space,4
take,4
took,4
toronto,4
trump,4
two,4
university,4
want,4
york,4
able,3
access,3
acquired,3
action,3
active,3
affected,3
anything,3
around,3
authority,3
back,3
billion,3
bit,3
board,3
ceo,3
click,3
commission,3
days,3
discuss,3
doesnt,3
done,3
early,3
editing,3
estimated,3
european,3
explain,3
find,3
gave,3
get,3
hear,3
hes,3
house,3
including,3
indonesian,3
ira,3
italians,3
late,3
listen,3
mind,3
mostly,3
name,3
obtained,3
opt,3
pages,3
paid,3
personality,3
possible,3
post,3
presidential,3
questions,3
read,3
reporting,3
service,3
sheryl,3
show,3
similar,3
sources,3
statement,3
stop,3
taken,3
tap,3
technology,3
testify,3
things,3
think,3
though,3
three,3
times,3
timess,3
top,3
user,3
verified,3
verify,3
watching,3
whether,3
work,3
world,3
wouldnt,3
academic,2
accent,2
accessed,2
account,2
acknowledged,2
added,2
addition,2
addresses,2
administrators,2
advertisers,2
agency,2
ahead,2
alberta,2
aleksandr,2
almost,2
always,2
among,2
android,2
announced,2
another,2
answer,2
anyone,2
associated,2
away,2
became,2
book,2
books,2
brussels,2
button,2
call,2
canadians,2
cant,2
case,2
changed,2
changes,2
children,2
christopher,2
codacons,2
collecting,2
combination,2
communications,2
completely,2
computer,2
confirmed,2
connection,2
consulting,2
coo,2
created,2
crisis,2
datamining,2
day,2
deciding,2
decision,2
denies,2
details,2
devices,2
didnt,2
digital,2
disclosed,2
documentary,2
douglas,2
election,2
email,2
english,2
episodes,2
facing,2
felt,2
films,2
flahive,2
focus,2
focused,2
following,2
former,2
giant,2
glass,2
global,2
got,2
government,2
group,2
gsr,2
guide,2
hadnt,2
hattari,2
high,2
hired,2
host,2
im,2
improper,2
include,2
indonesians,2
influence,2
instagram,2
intended,2
interviews,2
investigating,2
investigators,2
know,2
known,2
kogans,2
kubricks,2
large,2
later,2
lawmakers,2
legal,2
logged,2
looking,2
lost,2
lot,2
magnifying,2
martin,2
mean,2
meddling,2
meeting,2
memoir,2
message,2
messages,2
mike,2
mined,2
minister,2
ministry,2
mobile,2
month,2
mother,2
move,2
movie,2
music,2
narration,2
national,2
nothing,2
often,2
one,2
open,2
others,2
pan,2
parliamentary,2
particularly,2
parties,2
past,2
performance,2
place,2
platform,2
podcasts,2
politics,2
posting,2
posts,2
practices,2
preloaded,2
prepares,2
president,2
pressing,2
previous,2
private,2
production,2
protection,2
provide,2
provided,2
rains,2
rather,2
related,2
representatives,2
require,2
revelations,2
review,2
robert,2
rudiantara,2
run,2
sample,2
schroepfer,2
screen,2
see,2
seen,2
select,2
send,2
set,2
shut,2
since,2
something,2
spokesman,2
st,2
standard,2
starting,2
states,2
story,2
stream,2
supported,2
suspended,2
tens,2
thirdparty,2
thought,2
thoughts,2
thursday,2
title,2
trumps,2
try,2
trying,2
uk,2
union,2
united,2
view,2
well,2
westover,2
whistleblower,2
wigand,2
without,2
worst,2
written,2
wylie,2
youll,2
14year,1
1960s,1
28nation,1
absolutely,1
acclaimed,1
acknowledging,1
act,1
actions,1
activism,1
activity,1
actor,1
actors,1
adam,1
adapt,1
addictive,1
addison,1
address,1
adecar,1
adjust,1
adopter,1
advertiser,1
advertising,1
adviser,1
advocate,1
agitation,1
agree,1
airbnb,1
airlines,1
alec,1
aleksander,1
alerted,1
alexa,1
alexander,1
alissa,1
alistair,1
allegations,1
allegedly,1
allow,1
allowed,1
already,1
although,1
altogether,1
amazing,1
amplifying,1
