text,size
uber,66
cars,56
selfdriving,51
vehicles,39
waymo,39
technology,37
autonomous,36
company,30
testing,21
lyft,18
service,17
ridehailing,16
ubers,16
driverless,15
around,14
chief,14
drivers,14
like,14
public,14
safety,14
take,14
letter,13
gm,12
million,12
states,12
year,12
arizona,11
automakers,11
could,11
cruise,11
driver,11
made,11
roads,11
san,11
california,10
francisco,10
google,10
kalanick,10
miles,10
new,10
business,9
companys,9
federal,9
general,9
khosrowshahi,9
one,9
ride,9
road,9
volvo,9
work,9
world,9
years,9
clear,8
executive,8
ford,8
including,8
last,8
people,8
secrets,8
security,8
tempe,8
trade,8
billion,7
commercial,7
crash,7
deal,7
driving,7
former,7
go,7
going,7
jacobs,7
long,7
magna,7
motors,7
network,7
past,7
test,7
trial,7
waymos,7
without,7
according,6
ammann,6
cameras,6
case,6
cities,6
engineers,6
friday,6
googles,6
human,6
information,6
krafcik,6
lyfts,6
officials,6
plans,6
put,6
research,6
since,6
software,6
state,6
statement,6
struck,6
systems,6
team,6
tests,6
two,6
use,6
using,6
wheel,6
worked,6
working,6
already,5
approach,5
auto,5
automotive,5
behind,5
customers,5
data,5
department,5
developing,5
development,5
employees,5
even,5
fleets,5
get,5
gms,5
lead,5
least,5
local,5
many,5
month,5
next,5
officer,5
operate,5
operations,5
passengers,5
pedestrians,5
place,5
radar,5
rival,5
scale,5
startup,5
still,5
time,5
transportation,5
united,5
way,5
well,5
able,4
actions,4
allow,4
analyst,4
announced,4
approval,4
av,4
avs,4
away,4
become,4
big,4
called,4
city,4
court,4
driverlesscar,4
ducey,4
every,4
executives,4
first,4
five,4
four,4
fully,4
future,4
government,4
help,4
highway,4
intelligence,4
jacobss,4
lawsuit,4
levandowski,4
major,4
make,4
mass,4
operating,4
order,4
partnership,4
passed,4
petition,4
pittsburgh,4
production,4
recently,4
regulators,4
riders,4
sensors,4
site,4
situations,4
steering,4
sullivan,4
tesla,4
traffic,4
week,4
whether,4
accidents,3
agreement,3
ahead,3
appear,3
ariz,3
artificial,3
available,3
based,3
began,3
believed,3
claims,3
compromise,3
computer,3
conference,3
considered,3
control,3
created,3
delivery,3
efforts,3
emergency,3
environment,3
expected,3
expects,3
experience,3
field,3
forward,3
gain,3
hardware,3
herzberg,3
impact,3
intends,3
interview,3
introduce,3
investigation,3
jaguar,3
june,3
khosrowshahis,3
know,3
