text,size
selfdriving-cars,22
autonomous-vehicles,12
uber-has,8
selfdriving-technology,7
autonomous-cars,5
selfdriving-vehicles,5
technology-companies,5
technology-is,5
testing-of,5
uber-is,5
waymo-the,5
cars-will,4
uber-and,4
uber-said,4
uber-security,4
vehicles-and,4
vehicles-on,4
autonomous-car,3
cars-has,3
cars-have,3
cars-in,3
cars-without,3
cars-would,3
company-said,3
lyft-and,3
lyft-has,3
technology-to,3
testing-its,3
vehicles-in,3
waymo-and,3
waymo-has,3
waymo-is,3
cars-from,2
cars-including,2
cars-on,2
cars-that,2
cars-the,2
lyft-would,2
selfdriving-vehicle,2
technology-into,2
technology-startup,2
technology-that,2
testing-in,2
uber-crash,2
uber-had,2
uber-lyft,2
uber-mr,2
uber-uber,2
uber-waymo,2
uber-would,2
vehicles-that,2
vehicles-to,2
waymo-also,2
autonomous-chrysler,1
autonomous-driving,1
autonomous-mode,1
autonomous-prototypes,1
autonomous-semi,1
autonomous-systems,1
autonomous-taxi,1
autonomous-technology,1
autonomous-world,1
cars-a,1
cars-and,1
cars-anywhere,1
cars-approval,1
cars-are,1
cars-as,1
cars-but,1
cars-can,1
cars-could,1
cars-drove,1
cars-even,1
cars-ford,1
cars-industry,1
cars-itself,1
cars-long,1
cars-made,1
cars-noting,1
cars-occurs,1
cars-onto,1
cars-said,1
cars-shorter,1
cars-simply,1
cars-than,1
cars-then,1
cars-to,1
cars-were,1
cars-with,1
company-a,1
company-alphabet,1
company-and,1
company-blog,1
company-broke,1
company-created,1
company-did,1
company-disclosed,1
company-expects,1
company-has,1
company-innovating,1
company-intended,1
company-is,1
company-like,1
company-mr,1
company-now,1
company-opened,1
company-owned,1
company-postmates,1
company-public,1
company-quickly,1
company-spun,1
company-started,1
company-that,1
company-uber,1
company-waymo,1
company-when,1
lyft-after,1
lyft-compared,1
lyft-investor,1
lyft-mr,1
lyft-partner,1
lyft-said,1
lyft-titans,1
lyft-ubers,1
lyft-we,1
lyft-with,1
selfdriving-business,1
selfdriving-feature,1
selfdriving-model,1
selfdriving-researcher,1
selfdriving-software,1
selfdriving-subsidiary,1
selfdriving-trucking,1
selfdriving-volvos,1
technology-a,1
technology-and,1
technology-available,1
technology-but,1
technology-challenging,1
technology-from,1
technology-gm,1
technology-has,1
technology-have,1
technology-in,1
technology-its,1
technology-matt,1
technology-mostly,1
technology-officer,1
technology-out,1
technology-suppliers,1
technology-the,1
technology-while,1
testing-a,1
testing-after,1
testing-autonomous,1
testing-driverless,1
testing-fleets,1
testing-has,1
testing-on,1
testing-operations,1
testing-selfdriving,1
testing-the,1
testing-without,1
uber-also,1
uber-can,1
uber-car,1
uber-ceo,1
uber-employee,1
uber-employees,1
uber-hired,1
uber-lyfts,1
uber-made,1
uber-of,1
uber-often,1
uber-one,1
uber-or,1
uber-plans,1
uber-replacing,1
uber-safety,1
uber-secretly,1
uber-selfdriving,1
uber-spokeswoman,1
uber-stole,1
uber-teams,1
uber-to,1
uber-vehicle,1
uber-was,1
uber-went,1
uber-were,1
uber-which,1
vehicles-are,1
vehicles-as,1
vehicles-at,1
vehicles-combining,1
vehicles-could,1
vehicles-each,1
vehicles-finally,1
vehicles-for,1
vehicles-have,1
vehicles-interaction,1
vehicles-into,1
vehicles-itself,1
vehicles-lyft,1
vehicles-most,1
vehicles-operating,1
vehicles-pedestrians,1
vehicles-purchased,1
vehicles-said,1
vehicles-see,1
vehicles-struck,1
vehicles-tesla,1
vehicles-were,1
vehicles-will,1
vehicles-with,1
waymo-a,1
waymo-achieved,1
waymo-announced,1
waymo-as,1
waymo-cars,1
waymo-chief,1
waymo-compromise,1
waymo-deal,1
waymo-dropped,1
waymo-expected,1
waymo-googles,1
waymo-he,1
waymo-lawsuit,1
waymo-lyft,1
waymo-our,1
waymo-predicts,1
waymo-said,1
waymo-uses,1
waymo-vehicle,1
waymo-waymo,1
waymo-which,1
waymo-will,1
waymo-wont,1
