text,size
selfdriving,3444
cars,1631
driverless,1486
autonomous,870
uber,868
ai,578
crash,419
tesla,409
vehicles,399
tech,397
prescientinfo,394
waymo,376
ubers,372
fatal,339
new,292
future,287
driving,262
says,260
technology,240
iot,233
amp,232
test,232
accident,220
arizona,214
autopilot,192
california,192
safety,190
like,189
could,188
autonomousvehicles,174
pedestrian,174
next,173
killed,170
first,167
company,155
one,154
humans,152
would,152
ceo,148
help,144
need,139
artificialintelligence,138
hit,138
even,136
researchers,132
roads,128
robots,128
robotics,126
mobility,124
testing,124
day,123
human,122
daily,120
jaguar,120
nvidia,120
people,116
role,116
family,112
self,112
see,109
auto,108
may,108
take,108
use,108
smartcity,106
drive,104
drivers,104
trucks,104
complicated,100
time,100
machinelearning,99
road,98
driver,97
lidarmonkey,96
prevent,96
selfdrivingcars,96
innovation,93
cities,92
make,92
ready,92
automation,89
many,88
partners,88
read,88
smartcities,87
taxi,86
death,85
reuters,85
dont,84
legal,84
might,84
traffic,84
apple,80
companies,80
data,80
electric,80
farming,80
tractors,80
us,80
way,80
agritech,76
deeplearning,76
fatality,76
google,76
latest,76
pioneering,76
automotive,73
year,73
buses,72
cruise,72
last,72
look,72
autonomouscars,69
get,69
building,68
collisions,68
complete,68
fully,68
great,68
heres,68
industry,68
innovative,68
n,68
robot,68
safe,68
still,68
years,68
sale,66
bigdata,65
ride,65
change,64
emerging,64
know,64
learn,64
ml,64
model,64
patent,64
suspends,64
transportation,64
w,64
autonomousvehicle,62
googles,61
1st,60
another,60
anticipate,60
arent,60
datadriven,60
delivery,60
governor,60
honda,60
long,60
problems,60
public,60
real,60
solution,60
vr,60
weeks,60
world,60
yet,60
actually,56
beijing,56
digest,56
disruption,56
experts,56
netflixstyle,56
pedestrians,56
settlement,56
shuttle,56
subscribe,56
taxiservice,56
think,56
woman,56
wont,56
wrong,56
news,55
av,53
recent,53
whats,53
ability,52
already,52
around,52
blockchain,52
controlling,52
diggers,52
disruptive,52
fintech,52
got,52
hands,52
newscientist,52
sites,52
someday,52
streets,52
students,52
tests,52
trust,52
used,52
accidents,49
shared,49
soon,49
want,49
article,48
automated,48
build,48
continue,48
expand,48
going,48
handled,48
lets,48
nothing,48
race,48
things,48
victim,48
video,48
watch,48
work,48
driverlesscars,47
good,47
today,47
ago,45
gm,45
lidar,45
startup,45
without,45
aidrones,44
apr,44
april,44
biggest,44
development,44
drones,44
fleet,44
getting,44
mean,44
parking,44
really,44
research,44
rules,44
run,44
safer,44
sales,44
systems,44
talk,44
talking,44
ticketgm,44
together,44
toyota,44
transport,44
urban,44
trains,43
artificial,40
dashcam,40
datascience,40
dubai,40
ever,40
go,40
impact,40
intelligence,40
interesting,40
japan,40
leaders,40
nnread,40
speed,40
supposed,40
technologies,40
thoughts,40
travel,40
truck,40
