text,size
mark-zuckerberg,743
zuckerberg-is,626
get-to,596
million-to,596
internet-sign,595
facebook-is,332
facebook-and,190
facebook-page,189
facebook-facebook,130
facebook-to,123
fix-facebook,111
facebook-has,108
facebook-suspends,105
fix-this,103
facebook-users,102
facebook-data,97
deletefacebook-facebook,95
facebook-admits,90
facebook-says,90
facebook-will,87
facebook-for,85
data-firm,81
facebook-account,81
facebook-youtube,68
facebook-privacy,67
facebook-twitter,67
facebook-ads,66
data-of,62
facebook-amp,58
facebook-messenger,57
data-scandal,53
deletefacebook-movement,51
facebook-live,51
facebook-deletefacebook,50
data-breach,47
facebook-marketing,46
data-and,45
data-on,44
facebook-the,44
facebook-this,44
deletefacebook-i,41
facebook-i,41
facebook-socialmedia,41
cambridgeanalytica-facebook,40
data-from,40
deletefacebook-this,40
facebook-sent,40
data-facebook,39
cambridgeanalytica-and,37
data-privacy,37
deletefacebook-day,37
facebook-if,36
facebook-was,36
million-users,36
zuckerberg-facebook,34
data-to,32
facebook-ad,32
facebook-scandal,32
facebook-zuckerberg,32
cambridgeanalytica-scandal,31
data-was,31
deletefacebook-or,31
zuckerberg-and,30
facebook-cambridgeanalytica,29
facebook-groups,29
facebook-on,29
facebook-its,28
facebook-you,28
deletefacebook-and,27
facebook-advertising,27
facebook-secretly,27
fix-the,27
facebook-coo,26
facebook-group,26
facebook-now,26
get-your,26
zuckerberg-says,26
facebook-in,25
facebook-instagram,25
facebook-wants,25
zuckerberg-to,25
deletefacebook-the,24
facebook-google,24
facebook-scans,24
zuckerberg-deletefacebook,24
facebook-announces,23
deletefacebook-is,22
facebook-ceo,22
facebook-how,22
facebook-by,21
facebook-reportedly,21
mark-zuckerbergs,21
facebook-a,20
facebook-user,20
data-sharing,19
deletefacebook-has,19
facebook-at,19
facebook-we,19
get-rid,19
cambridgeanalytica-data,18
data-is,18
facebook-as,18
facebook-breach,18
facebook-just,18
cambridgeanalytica-the,17
data-collection,17
data-leak,17
deletefacebook-zuckerberg,17
facebook-fb,17
facebook-had,17
facebook-retracted,17
facebook-should,17
get-the,17
deletefacebook-that,16
facebook-accounts,16
facebook-algorithm,16
facebook-friends,16
facebook-gt,16
facebook-markzuckerburg,16
facebook-plans,16
